group_souffle,negation_control,negation,negation trouvé
et comment est -ce qu' on pourrait,F,F,o
enseigner,F,F,o
cela ?,F,F,o
eh bien mais je crois,F,F,o
qu' il y aurait quand même euh,F,F,o
et puis alors le droit civique moi j' ai l' impression que,F,F,o
euh,F,F,o
à l' école nous on nous apprenait un peu de droit civique moi je vois mes gosses ils en ont pas tellement appris hein,V,F,o
euh bah je sais pas par des leçons de choses par des,V,V,['sais pas']
on pourrait faire visiter,F,F,o
euh et qu- qu' est -ce qui manque dans dans je sais pas dans une ville comme Orléans il manque pas de de choses à voir à visiter,V,V,"['sais pas', 'manque pas']"
oui,F,F,o
qui pourraient peut-être même créer des vocations donner des vocation moi j' estime,F,F,o
comprenez c' est purement littéraire presque que je trouve moi enfin à mon avis,F,F,o
oui,F,F,o
oui,F,F,o
à mon avis,F,F,o
moi j' ai mes gosses qui ont été à l' école jusqu' à seize ans jusqu' au brevet,F,F,o
et alors à ce moment -là je suis allé voir le le directeur de du lycée,F,F,o
en lui demandant ce que euh mon aîné ce qu' il pourrait faire il m' a dit écoutez c' est un élément,F,F,o
c' est un bon élément,F,F,o
c' est un élément moyen,F,F,o
en tout,F,F,o
mais valable parce que travailleur,F,F,o
mais quand il aura son bac,F,F,o
ça sera son bâton de maréchal,F,F,o
oui,F,F,o
hum,F,F,o
alors à ce moment -là j' ai pas commis l' erreur de certains parents de dire bon bah tant pis on va continuer on verra bien,V,F,o
oui oui,F,F,o
à ce moment -là j' ai fait faire un test,F,F,o
euh ici là rue des Grands Champs,F,F,o
n' est -ce pas ?,F,F,o
pour voir à quel métier manuel pourrait lui,F,F,o
lui convenir,F,F,o
oui oui oui,F,F,o
comprenez -vous ?,F,F,o
je l' ai aiguillé vers un métier manuel il est coiffeur,F,F,o
hum hum,F,F,o
hein parce que il a ce sens artistique que je crois un peu posséder,F,F,o
et alors là il fait un boum terrible dans son métier,F,F,o
oui,F,F,o
oui oui,F,F,o
terrible à l' heure actuelle il vient de faire deux concours à Paris là,F,F,o
un concours à et un à Rouen,F,F,o
il est sorti premier des championnats,F,F,o
oui,F,F,o
voyez ce qui prouve que même même dans des métiers manuels on,F,F,o
on peut faire sa place j' estime,F,F,o
oui hum,F,F,o
alors qu' à l' heure actuelle on commet l' erreur de pousser les gosses,F,F,o
trop,F,F,o
je reconnais,F,F,o
que c' est valable de dire qu' un un qu' un fils d' ouvrier c' est pas faut pas me faire dire ce que je veux pas dire,V,V,"['est pas', 'faut pas', 'veux pas']"
j' estime qu' un fils d' ouvrier,F,F,o
qui a les capacités de le faire est aussi valable,V,F,o
que le fils d' un gros industriel c' est pas ça que je veux dire,V,V,['est pas']
mais je,F,F,o
oui oui,F,F,o
trouve qu' à l' heure actuelle,F,F,o
euh si vous voulez dans la classe moyenne on commet trop l' erreur de vouloir pousser les gosses,F,F,o
vers les études,F,F,o
alors que ça va faire des fruits secs d' ici cinq six ans mais enfin moi je vois ça comme ça,F,F,o
oui oui oui oui oui,F,F,o
moi je vois ça comme,F,F,o
ça,F,F,o
oui oui,F,F,o
je le vois de par mon métier,F,F,o
on n' est plus capable de trouver de,V,F,o
et je vous dis tous ces métiers manuels qui sont des métiers rudes d' accord hein,F,F,o
mais qui sont des métiers rémunérateurs croyez -moi maintenant hein,F,F,o
on a pu dire que avant la guerre on avait vraiment des petits métiers question salaire,F,F,o
maintenant hein euh un bon chef peut gagner cent cinquante cent quatre vingt mille francs par mois,F,F,o
oui oui,F,F,o
c' est quand même pas mal pour un manuel j' estime,V,F,o
oui oui,F,F,o
oui,F,F,o
comprenez -vous ?,F,F,o
et puis quand même les heures sont régentées,F,F,o
on arrive à faire cinquante-quatre heures c' est encore peut-être beaucoup,F,F,o
mais enfin y a quand même aussi des heures des présences c' est pas des heures de chez Renault hein,V,F,o
oui oui,F,F,o
y a des heures y a des temps morts tout de même,F,F,o
oui oui,F,F,o
hum,F,F,o
et qu' est -ce que vous pensez du latin à l' école ?,F,F,o
ah ça je suis pas habileté à vous répondre,F,F,o
euh d' après mes fils c' est valable parce que quand même c' est la c' est la la racine de notre langue quand même n' est -ce pas,F,V,"[""n'est-ce pas""]"
mais mes gosses en ont fait un peu,F,F,o
moi eh bien évidemment je peux pas vous parler de ça puisque malheureusement je vous dis j' ai,V,V,['peux pas']
j' ai été qu' à l' école jusqu' à treize ans et j' ai jamais appris un mot de latin,V,F,o
oui oui oui,F,F,o
et,F,F,o
dans quelles matières aimeriez -vous que vos vos enfants aient été forts à l' école ?,F,F,o
pourriez -vous,F,F,o
les langues et les maths,F,F,o
les langues et les maths oui,F,F,o
et dans les langues euh bien euh,F,F,o
c' est dommage il devait venir Jacques,F,F,o
mon fils euh il parle l' anglais euh,F,F,o
assez facilement,F,F,o
oui,F,F,o
assez facilement oui,F,F,o
qu' est -ce qui fait d' après vous que les enfants réussissent ou ne réussissent pas à l' école ?,V,V,['ne réussissent pas']
euh je crois pas tellement vous savez à la super-intelligence hein,V,V,['crois pas']
enfin euh si je juge d' après mes mes enfants,F,F,o
oui,F,F,o
n' est -ce pas euh,F,V,"[""n'est-ce pas""]"
ils sont d' un bon niveau,F,F,o
mais enfin c' est pas des des grands cerveaux seulement à côté de ça ce sont des travailleurs,V,V,['est pas']
oui,F,F,o
ils ont jamais fait d' éclat,V,V,['ont jamais']
oh là,F,F,o
oui où est -ce qu' on en était ?,F,F,o
ah oui,F,F,o
oh,F,F,o
je vous demandai,F,F,o
qu' est -ce qui fait qu' ils réussissent ?,F,F,o
oui ou enfin,F,F,o
moi je crois que c' est surtout le la la volonté euh d' arriver on peut faire euh on est un élément moyen mais on peut quand même arriver moi,F,F,o
si je vous le répète si je juge d' après mes enfants et d' après moi -même,F,F,o
bah euh évidemment si on juge euh,F,F,o
en faire des intellectuels ça c' est autre chose,F,F,o
oui,F,F,o
hein ?,F,F,o
oui,F,F,o
mais on on peut faire des bons manuels moi vous vous me direz que j' en reviens toujours à cette,F,F,o
question mais enfin y a des bons métiers manuels,F,F,o
et on euh un élément moyen peut faire un un bon manuel tout de même et il,F,F,o
gagne sa vie,F,F,o
oui oui,F,F,o
oui oui,F,F,o
alors d' après vous euh jusqu' à quel âge est -ce qu' il faut que les,F,F,o
enfants euh fassent des études ?,F,F,o
euh je suis d' accord pour aller jusqu' à seize ans,F,F,o
quand même c' est un,F,F,o
minimum,F,F,o
oui,F,F,o
de bagages qu' il faut parce que moi j' en souffre de ça,F,F,o
oui,F,F,o
comprenez -vous moi j' ai été à l' école jusqu' à mon Certificat d' Etudes j' avais douze ans et demi,F,F,o
et ça j' en ai toujours souffert,F,F,o
oui,F,F,o
n' est -ce pas,F,F,o
mais j' estime que c' est valable qu' un gosse aille à l' école jusqu' à treize ans,F,F,o
oui,F,F,o
comprenez -vous ?,F,F,o
mais alors là quoi à ce moment -là quoi,F,F,o
qu' on dise carrément bon ben ça suffit,F,F,o
hein parce un élé- un gosse je pense qu' à seize ans il s' est révélé ou alors euh euh c' est pas la peine,V,F,o
oui,F,F,o
y en a qui se révèlent tard mais enfin quand même,F,F,o
je trouve qu' à seize ans euh un gosse s' est révélé,F,F,o
s' il est valable pour faire un intellectuel euh un cadre ou enfin même un,F,F,o
un un comment dirais -je un responsable euh assez haut placé,F,F,o
mais sinon à seize ans bah qu' est -ce que vous voulez à ce moment -là qu' il prenne un bon métier manuel euh j' en reviens toujours,F,F,o
avec mes,F,F,o
oui oui,F,F,o
questions,F,F,o
et pour vous d' après vous ce serait la même chose pour les garçons et pour les filles ?,F,F,o
là je vous savez euh,F,F,o
ça m' est difficile de vous répondre parce que j' ai pas de filles,V,V,['ai pas']
j' ai que des,F,F,o
oui,F,F,o
garçons,F,F,o
alors je peux que juger qu' à travers de mes fils,F,F,o
oui oui oui,F,F,o
comprenez -vous ?,F,F,o
moi j' e- j' estime que j' ai pleinement réussi à travers eux puisque,F,F,o
euh ils ont tous les deux un métier manuel,F,F,o
et ils réussissent tous les deux parfaitement dans leur métier manuel alors par conséquent j' estime,F,F,o
que,F,F,o
qu' on a réussi,F,F,o
oui oui,F,F,o
vous comprenez ?,F,F,o
et qu' est -ce qu' il faut c' est c' est,F,F,o
euh donner de l' agrément,F,F,o
donner de l' agrément à son métier,F,F,o
comprenez -vous,F,F,o
boh bah c' est pas parce qu' on fait un métier manuel que pour ça on est,V,F,o
tiens,F,F,o
oui pour les filles euh,F,F,o
et pour les garçons ?,F,F,o
oui non je peux,V,F,o
pas vous répondre hein,F,F,o
pour les filles,F,F,o
non non,F,F,o
puisque je vois pas,V,V,['vois pas']
j' ai pas l- j' ai pas de filles alors je peux pas juger,V,V,"['ai pas', 'ai pas', 'peux pas']"
franchement,F,F,o
alors pour revenir à la ville d' Orléans,F,F,o
est -ce que,F,F,o
oui,F,F,o
d' après vous on fait assez pour les habitants à Orléans ?,F,F,o
moi je me plains pas de la municipalité évidemment euh,F,F,o
on peut toujours faire mieux,F,F,o
oui,F,F,o
on peut toujours faire mieux,F,F,o
mais enfin faut reconnaître quand même que notre ville a été sinistrée à combien à soixante pour cent peut-être,F,F,o
oui oui,F,F,o
n' est -ce pas ?,F,F,o
et que quand même on on n' est on s' est pas mal relevé n' est -ce pas,V,V,"['est pas', ""n'est-ce pas""]"
oui,F,F,o
on a des rues larges enfin agréables euh la rue Royale est une réussite à mon avis moi,F,F,o
oui,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
oui,F,F,o
euh évidemment y a des lacunes mais enfin,F,F,o
non moi euh,F,F,o
euh y a des erreurs hein pour moi,F,F,o
pour moi y a des erreurs,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
oui,F,F,o
oui,F,F,o
par exemple j' estime ça je peux vous le dire,F,F,o
euh la la Motte Minsart par exemple la euh vous savez la,F,F,o
euh comment dirais -je,F,F,o
le parc des expositions,F,F,o
oui,F,F,o
bon bah voilà un parc qui a coûté je en sais combien de millions,F,F,o
qui sert pour quinze jours,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
au moment,F,F,o
oui,F,F,o
des du salon,F,F,o
des arts ménagers,F,F,o
et puis incidemment il va servir trois quatre fois dans l' année,F,F,o
oui,F,F,o
ça c' est une erreur,F,F,o
oui oui,F,F,o
à mon avis,F,F,o
oui,F,F,o
comprenez -vous ?,F,F,o
évidemment y a une politique de prestige qu' on a pratiquée en France depuis pas mal d' années peut-être que nos municipalités ont voulu prendre le même exemple,F,F,o
j' en sais rien,V,F,o
mais enfin pour moi ça c' est c' est c' est pas rentable,V,V,['est pas']
oui,F,F,o
hein ?,F,F,o
y a des lacunes y a pas de piscine chauffée y a pas,V,V,"['a pas', 'a pas']"
quand même au point de vue sportif on c-,F,F,o
c' est léger hein ?,F,F,o
oui oui,F,F,o
c' est tout ce qu' on peut dire pour des enfants de cet âge -là c' est léger hein,F,F,o
oui,F,F,o
c' est léger,F,F,o
hein on manque de tennis on manque de,F,F,o
quand même on a beau dire il faut se battre euh si on veut un,F,F,o
on va au parc Pasteur pour pouvoir faire une partie de tennis le dimanche matin,F,F,o
comprenez ?,F,F,o
oui oui,F,F,o
enfin il manque vraiment en équipements sportifs on manque,F,F,o
ça y a pas d' erreur,V,V,['a pas']
hum hum,F,F,o
y a des réussites si y a des réussites oui,F,F,o
je vous dis la ville euh moi j' estime que la ville c' est une réussite,F,F,o
nos quais,F,F,o
nos quais sont bien euh,F,F,o
et puis je sais pas la ville par elle -même est agréable enfin,V,V,['sais pas']
à mon avis,F,F,o
oui je viens de dire tout à l' heure on est -ce qu' on fait assez pour les habitants,F,F,o
qu' est -ce que,F,F,o
oui,F,F,o
cela représenterait exactement pour vous ?,F,F,o
quand je dis est -ce qu' on fait assez pour les habitants,F,F,o
ah vous voulez dire euh personnellement ?,F,F,o
oui c' est ça,F,F,o
non moi je ne me trouve pas mal admi- administré,V,V,['trouve pas']
qu' est -ce t' en penses toi Denis ?,F,F,o
tu te trouves pas,V,V,['trouves pas']
oui,F,F,o
mal administré ?,V,F,o
oui c' est--à-dire que les,F,F,o
que la mentalité peut-être euh,F,F,o
n' est pas assez jeune justement dans la,V,V,"[""n ' est"", 'est pas']"
municipalité,F,F,o
des jeunes,F,F,o
hein qui se posent,F,F,o
oui,F,F,o
oui oui oui,F,F,o
euh,F,F,o
mais alors,F,F,o
quand on dit la municipalité,F,F,o
hum,F,F,o
qui est -ce que ça représente enfin,F,F,o
quelles personnes ?,F,F,o
bah le maire et ses,F,F,o
administrés,F,F,o
ah oui oui,F,F,o
ah moi euh je vois le maire et les adjoints après qu' est -ce vous voulez c' est un petit peu plus flou pour moi hein,F,F,o
oui,F,F,o
mais je connais pas mal de conseillers municipaux,V,V,['connais pas']
mais enfin remarquez que je leur fais entière confiance je je c' est des gens très honnêtes et certainement très dévoués hein,F,F,o
oui oui,F,F,o
parce que,F,F,o
moi -même si vous voulez dans une plus petite sphère j' ai été président de chez nous et tout ça,V,F,o
je connais les inconvénients de mener des du monde c' est pas commode hein,V,V,['est pas']
oui oui,F,F,o
et puis de gérer,F,F,o
c' est pas commode,F,F,o
oui,F,F,o
la critique la critique est toujours facile hein,F,F,o
oui oui,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
non moi je je me plains pas de la municipalité sauf ça je vous répète,F,F,o
que,F,F,o
oui,F,F,o
euh au point de vue équipements sportifs vraiment ça ça laisse à désirer et puis alors y des lacunes quoi euh,F,F,o
comme celle que je viens de vous signaler,F,F,o
oui,F,F,o
en dehors de ces la municipalité est -ce qu' il y a d' autres personnes qui comptent euh,F,F,o
qui ont de l' influence à Orléans ?,F,F,o
bah voilà voyez toujours pareil euh c' est -ce qui prouve quand même,F,F,o
j' admire le professeur le le recteur Antoine par exemple,F,F,o
oui oui,F,F,o
hein ?,F,F,o
euh Maurice Genevoix j' estime que c' est un homme de notre terroir c' est un homme de chez nous,F,F,o
si,F,F,o
vous voulez,F,F,o
oui,F,F,o
oui oui,F,F,o
hein ?,F,F,o
voilà des gens que j' admire j' aime entendre par exemple à,F,F,o
sur la comment dirais -je euh,F,F,o
en moyenne fréquence vous savez euh,F,F,o
à entendre j' ai entendu l' autre jour une causerie,F,F,o
justement sur l' Orléanais,F,F,o
qui était débattue entre Maurice Genevoix,F,F,o
euh Secrétain,F,F,o
et le prof- le recteur Antoine,F,F,o
je me souviens pas le quatrième responsable ah oui,V,V,['souviens pas']
euh le président Le- Le- Leguet,F,F,o
président de la Chambre de Commerce,F,F,o
bah là j' ai bu du petit lait ça c' est des hommes que j' admire parce que justement ils défendent mon terroir,F,F,o
oui oui,F,F,o
ils ressentent ce que je ressens si vous voulez,F,F,o
oui autrement je vois,F,F,o
évidemment euh c' est tout ce que je peux vous signaler,F,F,o
Péguy,F,F,o
évidemment Péguy,F,F,o
oui,F,F,o
mais qu' est -ce que vous voulez j' ai pas assez de culture pour l' apprécier je,F,F,o
j' aime le lire mais enfin,F,F,o
oui,F,F,o
mais je ne peux pas tirer certainement la quintessence comme,V,V,['ne peux pas']
comme un type qui qui a vraiment euh étudié la littérature,F,F,o
si vous me demandez des hommes de notre terroir c' est ça que vous voulez savoir,F,F,o
n' est -ce pas ?,F,F,o
oui oui oui,F,F,o
oui c' est tout ce que je vois,F,F,o
à vous signaler,F,F,o
eh bien on a beaucoup parlé des évènements de mai dernier,F,F,o
oui,F,F,o
et moi je n' étais pas en France à,V,F,o
l' époque,F,F,o
oui,F,F,o
alors euh est -ce que vous,F,F,o
pourriez m' expliquer,F,F,o
mai septembre,F,F,o
ce qu' il s-,F,F,o
s' est passé ?,F,F,o
pas pas pas pas votre fils,F,F,o
mais vous,F,F,o
non non non,F,F,o
parce que vous aurez,F,F,o
certainement,F,F,o
alors,F,F,o
des,F,F,o
oui des des des ah des,F,F,o
idées assez différentes,F,F,o
là-dessus,F,F,o
oui,F,F,o
remarquez que ça ça ça a pris tellement soudainement que,F,F,o
inconsciemment je me suis dit y a quelque chose de valable,F,F,o
certainement on peut pas,V,V,['peut pas']
un mouvement comme ça ne peut pas se déclencher,V,V,['ne peut pas']
avec cette rapidité s' il n' y a pas un mécontentement général,V,V,['a pas']
n' est -ce pas ?,F,F,o
mais alors évidemment après j ai vu quand même que les les les les à enfin à mon avis les extrêmes les extrêmes menaient la la danse,F,F,o
alors là j' ai vu que le la majorité était embarquée dans une affaire,F,F,o
que,F,F,o
euh qui n' était pas prévue au départ certainement euh par les par les pondérés par les,F,F,o
les gens qui voulaient continuer d' étudier dans de meilleures conditions,F,F,o
n' est -ce pas ?,F,F,o
oui,F,F,o
mais qui étaient amenés justement par toute cette bande de meneurs euh politiques ou autres sans doute,F,F,o
comprenez -vous ?,F,F,o
et,F,F,o
en tant que français moyen euh,F,F,o
je peux pas dire que j' ai pris peur,V,V,['peux pas']
non,F,F,o
mais enfin j' ai déploré ces j' ai déploré ces mouvements -là,F,F,o
oui,F,F,o
comprenez ?,F,F,o
quoique dans m- dans ma profession euh j' ai beaucoup de contact avec des des professeurs,F,F,o
n' est -ce pas ?,F,F,o
oui,F,F,o
qui m' ont expliqué,F,F,o
le mouvement,F,F,o
hein on peut le dire,F,F,o
et je j' ai très bien compris leur mouvement euh je je j' ai je l' ai reconnu valable si vous voulez,F,F,o
mais enfin évidemment c' est une explosion euh c' est des jeunes on ne peut pas régenter des jeunes comme on peut régenter je sais pas des gens de mon âge par exemple,V,V,"['peut pas', 'sais pas']"
oui,F,F,o
oui oui,F,F,o
mais alors qu' est -ce qui s' est passé euh est -ce qu' il s' est passé quelque chose à Orléans ou ?,F,F,o
bah à la Source vous savez on n' a pas tellement parlé hein oui y a eu quelque chose évidemment à la Source,V,V,"[""n ' a"", 'a pas']"
mais à la Source y a un problème qu' est -ce que vous voulez c' est vraiment un,F,F,o
euh comment dirais -je,F,F,o
c' est pas la claustrophobie mais presque,F,F,o
oui,F,F,o
hein ?,F,F,o
oui,F,F,o
ils sont en cir- en circuit fermé,F,F,o
oui pourquoi ça ?,F,F,o
eh bien parce qu' ils se plaignent justement qu' ils,F,F,o
ils s-,F,F,o
c' est un campus,F,F,o
alors ils ils sont là et puis sortis de leurs études euh faut qu' ils viennent à Orléans y a aucun moyen de locomotion ou presque,F,F,o
oui oui oui,F,F,o
comprenez -vous ?,F,F,o
alors ils ils sont casernés ils ont l' impression d' être encasernés,F,F,o
oui,F,F,o
on a beau leur faire en ce moment des des des parcs et tout ce que vous voudrez euh,F,F,o
le jeune c' est pas ça qu' il cherche au fond quand il cherche un autre dérivatif que celui -là hein,V,V,['est pas']
oui,F,F,o
il a le confort,F,F,o
n' est -ce pas à la Source certainement et,V,V,"[""n'est-ce pas""]"
il a il a des belles salles de classe si vous voulez n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
oui,F,F,o
mais ce qu' il rechercherait c' est un contact est -ce,F,F,o
il en peine ça parce que je vois ça à travers de mon aîné,F,F,o
qui est qui vit avec beaucoup d' étudiants,F,F,o
et l' étudiant peine de ça,F,F,o
hein ?,F,F,o
du manque de contact justement avec le le la population orléanaise,F,F,o
oui,F,F,o
ils ont l' impression d' être à part,F,F,o
oui,F,F,o
ça c' est un élément aussi euh,F,F,o
de trouble si vous voulez de,F,F,o
je crois,F,F,o
oui,F,F,o
oui oui,F,F,o
non merci,V,F,o
est -ce que,F,F,o
les différences entre les classes sont très marquées à Orléans ?,F,F,o
je pense pas non vous savez enfin vous savez,V,V,['pense pas']
le euh,F,F,o
l' Orléanais,F,F,o
si vous voulez c' est le Val-de-Loire hein,F,F,o
hein c' est le climat tempéré eh bah l' homme est un peu euh le reflet de son climat,F,F,o
hein ?,F,F,o
évidemment y a des extrémistes,F,F,o
mais enfin je pense pas qu' il y ait,V,V,['pense pas']
tellement de de différences entre les classes comme,F,F,o
vous vous savez je crois que pour les les dirigeants qui viennent à Orléans que ça soit,F,F,o
du ministère de l' intérieur ou un préfet ou que ça soit,F,F,o
euh de du ministère des finances ou que ça soit,F,F,o
euh tous les les cadres qui viennent enfin des responsables de la région,F,F,o
vous savez je j' ai l' impression que c' est un peu une sinécure hein pour Orléans euh,F,F,o
il y a pas tellement de problèmes dans nos dans notre coin,V,V,['a pas']
oui,F,F,o
oui,F,F,o
moi j' ai eu des contacts euh bien des fois avec euh la préfecture euh professionnellement,F,F,o
on sent quand même que c' est pas un pays de de troublions vous savez les les Orléanais hein c' est des gens pondérés,F,F,o
et je crois que ça se reflète dans toutes les classes de la société,F,F,o
oui,F,F,o
je crois,F,F,o
mais quelles sont elles enfin d' après vous ces classes de la société ?,F,F,o
euh pour leur donner un nom,F,F,o
bah vous savez Orléans n' est pas tellement industrialisé,V,V,"[""n ' est"", 'est pas']"
hein ?,F,F,o
on peut dire,F,F,o
oui,F,F,o
évidemment elle suit le le la courbe,F,F,o
générale,F,F,o
mais enfin euh,F,F,o
Orléans est pas tellement instru- industrialisée alors par conséquent vous n' avez pas euh,V,V,"['est pas', ""n ' avez"", 'avez pas']"
l' ouvrier de basse classe quoi enfin celui qui qui qui gagne euh,F,F,o
euh le minimum vital y en a y en a mais enfin,F,F,o
c' est quand même pas la généralité vous avez quand même beaucoup de de petites entreprises de,F,F,o
des gens quand même qui,F,F,o
qui ont une petite responsabilité moi je crois,F,F,o
hein et,F,F,o
moi je suis on touche toutes les classes de la société on peut pas dire que y ait des clans hein,V,V,['peut pas']
hum,F,F,o
évidemment les gens se trient mais enfin je,F,F,o
on on sent pas une acrimonie entre les classes,V,V,['sent pas']
hum,F,F,o
franchement non,F,F,o
je crois pas,V,V,['crois pas']
et est -ce,F,F,o
est -ce qu' on pourrait reconnaître disons un un ouvrier d' un autre euh,F,F,o
d' un membre des autres classes en les voyant euh,F,F,o
euh,F,F,o
comme ça ?,F,F,o
de moins en moins,F,F,o
oui,F,F,o
mais enfin dans les cas où on pourrait faire la,F,F,o
différence à quoi,F,F,o
ah oui,F,F,o
à quoi est -ce qu' on le reconnaîtrait,F,F,o
d' après vous ?,F,F,o
d' abord par euh par son habillement on dit l' habit ne fait pas le moine mais enfin tout de même,V,V,['fait pas']
oui,F,F,o
et puis puis par ses,F,F,o
par son raisonnement par ses,F,F,o
euh sa façon de de de voir la vie quoi,F,F,o
oui,F,F,o
comprenez là on sent l' ouvrier,F,F,o
enfin on sent si vous voulez le le le type aigri qui n' a peut-être pas,F,F,o
réussi sa vie et,F,F,o
et qui à ce moment -là s' en prend à la société hein,F,F,o
oui oui,F,F,o
hein ?,F,F,o
ou même peut-être aussi faut le reconnaître peut-être l' ouvrier qui est exploité aussi hein y en a malheureusement,F,F,o
oui,F,F,o
comprenez -vous ?,F,F,o
oui,F,F,o
alors celui -là s' exprime évidemment euh,F,F,o
euh en en fonction de ce qu' il ressent hein,F,F,o
oui,F,F,o
mais autrement on on peut dire que les trois quarts des des des ouvriers maintenant hein,F,F,o
viennent sont bien habillés euh,F,F,o
prennent le,F,F,o
je vais parler commerçant,F,F,o
prennent les bons morceaux aussi bien que les autres,F,F,o
euh ça y a pas de différence hein,V,V,['a pas']
si le si le dimanche ils ont envie de manger un gigot y a rien,F,F,o
ils mangent un gigot ils s' occupent pas vous savez,V,V,['occupent pas']
on dit pas c' est Untel elle va manger un gigot,V,V,['dit pas']
y a p-,F,F,o
euh la semaine on vend huit à dix gigots par exemple eh bien vous savez vous en vendez autant,F,F,o
si vous voulez à un,F,F,o
oui oui,F,F,o
ouvrier qu' à,F,F,o
qu' à un avocat ou un docteur ou un chirurgien euh,F,F,o
ça euh,F,F,o
est -ce que vous remarquez une,F,F,o
différence sensible entre vos différents clients dans leur façon de choisir la viande,F,F,o
dans ce qu' ils achètent et caetera ?,F,F,o
indépendamment,F,F,o
disons de leurs,F,F,o
oui,F,F,o
origines de classe ?,F,F,o
oui,F,F,o
ce qu' il y a c' est que avec le progrès vous comprenez de moins en moins,F,F,o
le client a,F,F,o
veut faire de de plats,F,F,o
à cuisson lente,F,F,o
oui,F,F,o
comprenez -vous c' est un des phénomènes de notre métier et on en souffre,F,F,o
on va de plus en plus vers le steak vers le,F,F,o
comprenez -vous ?,F,F,o
oui,F,F,o
n' est -ce pas ?,F,F,o
mais alors là y a pas de problèmes pas plus la classe euh dirigeante enfin si on devait l' appeler ainsi que la classe ouvrière hein,V,V,['a pas']
oui,F,F,o
et le le et et le problème est le même pour tous hein,F,F,o
on on va de plus en plus vers euh,F,F,o
vers la vente de de la cuisson rapide quoi des morceaux nobles ce qu' ils appellent quoi c' est à dire les rosbifs les biftecks et tout ça,F,F,o
de plus en plus,F,F,o
oui,F,F,o
d' une année sur l' autre on constate hein,F,F,o
non autrement non,F,F,o
on ressent,F,F,o
on ressent les fins de mois,F,F,o
les ?,F,F,o
les fins de mois,F,F,o
ah oui,F,F,o
ça on les ressent,F,F,o
les fins de mois ?,F,F,o
ah c' est net hein,V,F,o
qu' est -ce que c' est les fins de mois ?,F,F,o
eh bien c' est--à-dire que le client par exemple il est si vous posez qu' il a un budget de cent mille,F,F,o
bon il va manger quatre-vingt-dix mille dans les les vingt ou vingt-deux premiers jours,F,F,o
et puis huit jours,F,F,o
il reste avec dix mille,F,F,o
ah les fins de mois oui,F,F,o
comprenez ?,F,F,o
parce que j' avais,F,F,o
pas compris oui,V,F,o
voilà,F,F,o
alors,F,F,o
oui,F,F,o
là euh,F,F,o
pendant huit jours faut qu' il vive avec dix ou quinze mille,F,F,o
oui,F,F,o
alors là on ressent les fins de mois,F,F,o
alors on le,F,F,o
oui,F,F,o
ressent dans notre vente,F,F,o
oui,F,F,o
c' est--à-dire que vous allez faire cent clients,F,F,o
avec une moyenne par exemple de sept cents je vais vous citer un chiffre,F,F,o
sept francs,F,F,o
par client,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
dans une semaine ordinaire,F,F,o
et vous allez faire cent clients,F,F,o
avec quatre cent ou quatre cent cinquante,F,F,o
ou quatre francs quatre francs cinquante plus exactement,F,F,o
par client,F,F,o
dans ces semaines- -là,F,F,o
oui,F,F,o
c' est--à-dire qu' ils vont se diriger vers le bifteck haché,F,F,o
ils vont se diriger,F,F,o
euh vers les abats,F,F,o
qui sont,F,F,o
oui,F,F,o
des articles moins chers,F,F,o
ce qui prouve que le budget vous comprenez là on le ressent,F,F,o
on ressent les fins de,F,F,o
mois ça,F,F,o
et y a une,F,F,o
différence entre les catégories euh de ce point de vue -là ?,F,F,o
ah oui là là ça se sent là quand même,F,F,o
oui,F,F,o
là ça se sent là oui,F,F,o
oui c' est c' est la seule chose que je puisse vous dire à ce sujet -là hein,F,F,o
oui,F,F,o
y a t -il chez vous un dictionnaire ?,F,F,o
oui,F,F,o
oui,F,F,o
euh,F,F,o
ou des dictionnaires ?,F,F,o
bah euh j' ai un Littré et j' ai un Larousse,F,F,o
oui,F,F,o
euh hum,F,F,o
est -ce que vous avez,F,F,o
oui bon excusez -moi parce que,F,F,o
je suis pas très,V,F,o
je vous en prie,F,F,o
au fait de de ces questions,F,F,o
oui c' est c' est le Littré ou le Larousse,F,F,o
vous avez les deux ?,F,F,o
oui,F,F,o
le Littré et le Larousse,F,F,o
euh en combien de volumes ?,F,F,o
je l' ai en trois j' ai le le,F,F,o
le petit volume en Larousse vous savez le,F,F,o
et puis alors,F,F,o
oui,F,F,o
je l' ai en trois en trois volumes en Littré,F,F,o
oui,F,F,o
où est -ce que vous les gardez ?,F,F,o
bah je les ai là euh,F,F,o
dans la bibliothèque,F,F,o
c' est votre bureau là,F,F,o
oui,F,F,o
oui,F,F,o
euh hum depuis quand est -ce que vous avez un ou des dictionnaires ?,F,F,o
oh depuis toujours pratiquement,F,F,o
oui,F,F,o
le Larousse je l' ai depuis toujours,F,F,o
le Littré je l' ai acheté après euh parce que je l' ai jugé un petit peu plus,F,F,o
mieux approfondi si vous voulez,F,F,o
un peu plus fouillé,F,F,o
